date,location,cases,disease_type
2005-02-01,Tirupati,14,Flu
2005-02-01,Tirupati,139,Typhoid
2005-02-01,Tirupati,96,Flu
2005-02-01,Tirupati,79,Flu
2005-02-01,Guntur,156,Flu
2005-02-01,Guntur,181,Flu
2005-02-01,Guntur,175,Flu
2005-02-01,Guntur,69,Malaria
2005-02-01,Kurnool,101,Flu
2005-02-01,Kurnool,139,Flu
2005-02-01,Kurnool,178,Dengue
2005-02-01,Nellore,91,Malaria
2005-02-01,Nellore,108,Flu
2005-02-01,Nellore,53,Flu
2005-02-01,Nellore,48,Flu
2005-02-01,Nellore,168,Malaria
2005-02-01,Rajahmundry,201,Malaria
2005-02-01,Rajahmundry,115,Flu
2005-02-01,Rajahmundry,180,Typhoid
2005-02-01,Rajahmundry,141,Flu
2005-03-01,Hyderabad,81,Typhoid
2005-03-01,Hyderabad,141,Malaria
2005-03-01,Hyderabad,212,Malaria
2005-03-01,Hyderabad,117,Flu
2005-03-01,Hyderabad,213,Chikungunya
2005-03-01,Hyderabad,5,Dengue
2005-03-01,Vijayawada,169,Dengue
2005-03-01,Vijayawada,125,Malaria
2005-03-01,Vijayawada,102,Malaria
2005-03-01,Visakhapatnam,125,Flu
2005-03-01,Visakhapatnam,5,Dengue
2005-03-01,Visakhapatnam,106,Chikungunya
2005-03-01,Visakhapatnam,141,Chikungunya
2005-03-01,Visakhapatnam,208,Flu
2005-03-01,Visakhapatnam,88,Chikungunya
2005-03-01,Tirupati,71,Flu
2005-03-01,Tirupati,89,Dengue
2005-03-01,Tirupati,174,Dengue
2005-03-01,Tirupati,139,Flu
2005-03-01,Tirupati,88,Typhoid
2005-03-01,Guntur,150,Dengue
2005-03-01,Guntur,125,Typhoid
2005-03-01,Guntur,178,Chikungunya
2005-03-01,Guntur,77,Malaria
2005-03-01,Guntur,100,Chikungunya
2005-03-01,Kurnool,96,Typhoid
2005-03-01,Kurnool,32,Flu
2005-03-01,Kurnool,137,Malaria
2005-03-01,Nellore,135,Typhoid
2005-03-01,Nellore,120,Flu
2005-03-01,Nellore,105,Flu
2005-03-01,Rajahmundry,35,Malaria
2005-03-01,Rajahmundry,94,Typhoid
2005-03-01,Rajahmundry,99,Malaria
2005-03-01,Rajahmundry,71,Flu
2005-04-01,Hyderabad,110,Flu
2005-04-01,Hyderabad,144,Typhoid
2005-04-01,Hyderabad,233,Chikungunya
2005-04-01,Vijayawada,130,Dengue
2005-04-01,Vijayawada,135,Typhoid
2005-04-01,Vijayawada,115,Typhoid
2005-04-01,Visakhapatnam,5,Dengue
2005-04-01,Visakhapatnam,118,Malaria
2005-04-01,Visakhapatnam,123,Flu
2005-04-01,Visakhapatnam,267,Dengue
2005-04-01,Tirupati,108,Chikungunya
2005-04-01,Tirupati,138,Dengue
2005-04-01,Tirupati,117,Flu
2005-04-01,Guntur,49,Malaria
2005-04-01,Guntur,188,Chikungunya
2005-04-01,Guntur,165,Flu
2005-04-01,Guntur,167,Malaria
2005-04-01,Kurnool,65,Flu
2005-04-01,Kurnool,204,Flu
2005-04-01,Kurnool,35,Chikungunya
2005-04-01,Kurnool,155,Malaria
2005-04-01,Kurnool,251,Flu
2005-04-01,Nellore,60,Typhoid
2005-04-01,Nellore,86,Chikungunya
2005-04-01,Nellore,125,Typhoid
2005-04-01,Nellore,89,Chikungunya
2005-04-01,Rajahmundry,26,Dengue
2005-04-01,Rajahmundry,124,Malaria
2005-04-01,Rajahmundry,56,Malaria
2005-04-01,Rajahmundry,148,Dengue
2005-04-01,Rajahmundry,64,Typhoid
2005-04-01,Rajahmundry,212,Dengue
2005-05-01,Hyderabad,73,Flu
2005-05-01,Hyderabad,100,Malaria
2005-05-01,Hyderabad,168,Dengue
2005-05-01,Hyderabad,46,Dengue
2005-05-01,Vijayawada,133,Malaria
2005-05-01,Vijayawada,198,Dengue
2005-05-01,Vijayawada,23,Dengue
2005-05-01,Visakhapatnam,131,Dengue
2005-05-01,Visakhapatnam,135,Flu
2005-05-01,Visakhapatnam,166,Malaria
2005-05-01,Visakhapatnam,45,Typhoid
2005-05-01,Visakhapatnam,40,Chikungunya
2005-05-01,Tirupati,151,Flu
2005-05-01,Tirupati,137,Malaria
2005-05-01,Tirupati,135,Flu
2005-05-01,Tirupati,140,Flu
2005-05-01,Guntur,79,Malaria
2005-05-01,Guntur,133,Chikungunya
2005-05-01,Guntur,137,Chikungunya
2005-05-01,Guntur,77,Malaria
2005-05-01,Guntur,231,Dengue
2005-05-01,Guntur,148,Dengue
2005-05-01,Kurnool,48,Typhoid
2005-05-01,Kurnool,159,Chikungunya
2005-05-01,Kurnool,61,Chikungunya
2005-05-01,Kurnool,167,Chikungunya
2005-05-01,Kurnool,189,Dengue
2005-05-01,Kurnool,70,Dengue
2005-05-01,Nellore,177,Chikungunya
2005-05-01,Nellore,144,Typhoid
2005-05-01,Nellore,169,Dengue
2005-05-01,Rajahmundry,233,Malaria
2005-05-01,Rajahmundry,105,Malaria
2005-05-01,Rajahmundry,74,Flu
2005-05-01,Rajahmundry,66,Chikungunya
2005-06-01,Hyderabad,71,Malaria
2005-06-01,Hyderabad,115,Dengue
2005-06-01,Hyderabad,140,Dengue
2005-06-01,Hyderabad,136,Flu
2005-06-01,Vijayawada,169,Chikungunya
2005-06-01,Vijayawada,120,Chikungunya
2005-06-01,Vijayawada,207,Dengue
2005-06-01,Vijayawada,104,Typhoid
2005-06-01,Vijayawada,283,Malaria
2005-06-01,Vijayawada,157,Dengue
2005-06-01,Visakhapatnam,68,Flu
2005-06-01,Visakhapatnam,55,Chikungunya
2005-06-01,Visakhapatnam,148,Dengue
2005-06-01,Tirupati,106,Malaria
2005-06-01,Tirupati,162,Chikungunya
2005-06-01,Tirupati,148,Flu
2005-06-01,Tirupati,115,Dengue
2005-06-01,Tirupati,69,Dengue
2005-06-01,Tirupati,29,Dengue
2005-06-01,Guntur,93,Dengue
2005-06-01,Guntur,171,Typhoid
2005-06-01,Guntur,132,Chikungunya
2005-06-01,Guntur,45,Chikungunya
2005-06-01,Guntur,130,Typhoid
2005-06-01,Guntur,143,Malaria
2005-06-01,Kurnool,66,Dengue
2005-06-01,Kurnool,129,Flu
2005-06-01,Kurnool,123,Malaria
2005-06-01,Kurnool,51,Malaria
2005-06-01,Nellore,141,Dengue
2005-06-01,Nellore,153,Malaria
2005-06-01,Nellore,184,Malaria
2005-06-01,Nellore,183,Chikungunya
2005-06-01,Nellore,37,Dengue
2005-06-01,Rajahmundry,63,Chikungunya
2005-06-01,Rajahmundry,150,Dengue
2005-06-01,Rajahmundry,150,Dengue
2005-07-01,Hyderabad,150,Malaria
2005-07-01,Hyderabad,351,Flu
2005-07-01,Hyderabad,154,Malaria
2005-07-01,Hyderabad,188,Malaria
2005-07-01,Vijayawada,177,Typhoid
2005-07-01,Vijayawada,159,Malaria
2005-07-01,Vijayawada,101,Malaria
2005-07-01,Visakhapatnam,165,Flu
2005-07-01,Visakhapatnam,73,Dengue
2005-07-01,Visakhapatnam,105,Chikungunya
2005-07-01,Visakhapatnam,90,Dengue
2005-07-01,Visakhapatnam,124,Dengue
2005-07-01,Tirupati,258,Malaria
2005-07-01,Tirupati,7,Flu
2005-07-01,Tirupati,161,Flu
2005-07-01,Tirupati,23,Dengue
2005-07-01,Tirupati,91,Typhoid
2005-07-01,Guntur,185,Dengue
2005-07-01,Guntur,123,Dengue
2005-07-01,Guntur,55,Dengue
2005-07-01,Kurnool,77,Chikungunya
2005-07-01,Kurnool,160,Chikungunya
2005-07-01,Kurnool,76,Dengue
2005-07-01,Kurnool,132,Dengue
2005-07-01,Kurnool,122,Chikungunya
2005-07-01,Nellore,80,Typhoid
2005-07-01,Nellore,248,Flu
2005-07-01,Nellore,158,Typhoid
2005-07-01,Nellore,5,Dengue
2005-07-01,Nellore,131,Chikungunya
2005-07-01,Rajahmundry,80,Flu
2005-07-01,Rajahmundry,171,Dengue
2005-07-01,Rajahmundry,72,Chikungunya
2005-07-01,Rajahmundry,113,Dengue
2005-07-01,Rajahmundry,150,Chikungunya
2005-08-01,Hyderabad,171,Dengue
2005-08-01,Hyderabad,47,Typhoid
2005-08-01,Hyderabad,99,Chikungunya
2005-08-01,Hyderabad,91,Dengue
2005-08-01,Vijayawada,80,Malaria
2005-08-01,Vijayawada,225,Dengue
2005-08-01,Vijayawada,144,Flu
2005-08-01,Vijayawada,44,Dengue
2005-08-01,Vijayawada,175,Typhoid
2005-08-01,Visakhapatnam,247,Dengue
2005-08-01,Visakhapatnam,181,Dengue
2005-08-01,Visakhapatnam,28,Dengue
2005-08-01,Visakhapatnam,90,Flu
2005-08-01,Visakhapatnam,196,Dengue
2005-08-01,Tirupati,77,Malaria
2005-08-01,Tirupati,146,Malaria
2005-08-01,Tirupati,166,Dengue
2005-08-01,Tirupati,64,Dengue
2005-08-01,Tirupati,116,Chikungunya
2005-08-01,Tirupati,5,Flu
2005-08-01,Guntur,58,Chikungunya
2005-08-01,Guntur,104,Malaria
2005-08-01,Guntur,45,Dengue
2005-08-01,Kurnool,217,Dengue
2005-08-01,Kurnool,34,Dengue
2005-08-01,Kurnool,93,Flu
2005-08-01,Kurnool,127,Flu
2005-08-01,Nellore,206,Chikungunya
2005-08-01,Nellore,33,Dengue
2005-08-01,Nellore,189,Dengue
2005-08-01,Rajahmundry,120,Dengue
2005-08-01,Rajahmundry,61,Malaria
2005-08-01,Rajahmundry,147,Chikungunya
2005-09-01,Hyderabad,131,Flu
2005-09-01,Hyderabad,83,Dengue
2005-09-01,Hyderabad,124,Dengue
2005-09-01,Hyderabad,96,Chikungunya
2005-09-01,Vijayawada,126,Chikungunya
2005-09-01,Vijayawada,159,Dengue
2005-09-01,Vijayawada,215,Chikungunya
2005-09-01,Vijayawada,45,Dengue
2005-09-01,Visakhapatnam,247,Chikungunya
2005-09-01,Visakhapatnam,5,Chikungunya
2005-09-01,Visakhapatnam,110,Chikungunya
2005-09-01,Visakhapatnam,155,Dengue
2005-09-01,Visakhapatnam,136,Chikungunya
2005-09-01,Visakhapatnam,82,Dengue
2005-09-01,Tirupati,107,Chikungunya
2005-09-01,Tirupati,90,Dengue
2005-09-01,Tirupati,84,Chikungunya
2005-09-01,Guntur,170,Dengue
2005-09-01,Guntur,141,Chikungunya
2005-09-01,Guntur,78,Chikungunya
2005-09-01,Guntur,173,Dengue
2005-09-01,Guntur,138,Typhoid
2005-09-01,Guntur,168,Dengue
2005-09-01,Kurnool,157,Chikungunya
2005-09-01,Kurnool,70,Flu
2005-09-01,Kurnool,86,Dengue
2005-09-01,Kurnool,164,Typhoid
2005-09-01,Kurnool,156,Dengue
2005-09-01,Nellore,118,Flu
2005-09-01,Nellore,127,Dengue
2005-09-01,Nellore,196,Flu
2005-09-01,Nellore,84,Dengue
2005-09-01,Nellore,152,Flu
2005-09-01,Rajahmundry,107,Dengue
2005-09-01,Rajahmundry,106,Malaria
2005-09-01,Rajahmundry,185,Dengue
2005-09-01,Rajahmundry,169,Chikungunya
2005-09-01,Rajahmundry,168,Malaria
2005-10-01,Hyderabad,198,Dengue
2005-10-01,Hyderabad,121,Malaria
2005-10-01,Hyderabad,160,Dengue
2005-10-01,Vijayawada,101,Dengue
2005-10-01,Vijayawada,139,Flu
2005-10-01,Vijayawada,112,Malaria
2005-10-01,Vijayawada,125,Chikungunya
2005-10-01,Vijayawada,155,Chikungunya
2005-10-01,Vijayawada,70,Typhoid
2005-10-01,Visakhapatnam,245,Malaria
2005-10-01,Visakhapatnam,59,Flu
2005-10-01,Visakhapatnam,47,Flu
2005-10-01,Visakhapatnam,189,Typhoid
2005-10-01,Visakhapatnam,167,Typhoid
2005-10-01,Tirupati,157,Chikungunya
2005-10-01,Tirupati,157,Dengue
2005-10-01,Tirupati,119,Dengue
2005-10-01,Guntur,66,Dengue
2005-10-01,Guntur,124,Typhoid
2005-10-01,Guntur,79,Malaria
2005-10-01,Guntur,178,Dengue
2005-10-01,Guntur,111,Typhoid
2005-10-01,Guntur,70,Dengue
2005-10-01,Kurnool,100,Typhoid
2005-10-01,Kurnool,144,Dengue
2005-10-01,Kurnool,86,Malaria
2005-10-01,Kurnool,70,Dengue
2005-10-01,Nellore,134,Dengue
2005-10-01,Nellore,134,Chikungunya
2005-10-01,Nellore,89,Typhoid
2005-10-01,Nellore,91,Dengue
2005-10-01,Nellore,133,Malaria
2005-10-01,Rajahmundry,33,Malaria
2005-10-01,Rajahmundry,35,Chikungunya
2005-10-01,Rajahmundry,76,Flu
2005-10-01,Rajahmundry,107,Chikungunya
2005-11-01,Hyderabad,138,Typhoid
2005-11-01,Hyderabad,208,Flu
2005-11-01,Hyderabad,171,Flu
2005-11-01,Vijayawada,110,Dengue
2005-11-01,Vijayawada,118,Malaria
2005-11-01,Vijayawada,59,Typhoid
2005-11-01,Vijayawada,118,Malaria
2005-11-01,Vijayawada,102,Malaria
2005-11-01,Visakhapatnam,139,Dengue
2005-11-01,Visakhapatnam,70,Dengue
2005-11-01,Visakhapatnam,151,Malaria
2005-11-01,Visakhapatnam,211,Chikungunya
2005-11-01,Tirupati,113,Chikungunya
2005-11-01,Tirupati,144,Chikungunya
2005-11-01,Tirupati,161,Flu
2005-11-01,Guntur,95,Chikungunya
2005-11-01,Guntur,133,Chikungunya
2005-11-01,Guntur,120,Chikungunya
2005-11-01,Guntur,125,Malaria
2005-11-01,Kurnool,73,Dengue
2005-11-01,Kurnool,121,Dengue
2005-11-01,Kurnool,149,Chikungunya
2005-11-01,Kurnool,207,Malaria
2005-11-01,Nellore,177,Flu
2005-11-01,Nellore,249,Chikungunya
2005-11-01,Nellore,73,Dengue
2005-11-01,Nellore,172,Flu
2005-11-01,Rajahmundry,131,Dengue
2005-11-01,Rajahmundry,251,Chikungunya
2005-11-01,Rajahmundry,71,Malaria
2005-11-01,Rajahmundry,69,Chikungunya
2005-12-01,Hyderabad,84,Flu
2005-12-01,Hyderabad,5,Flu
2005-12-01,Hyderabad,88,Flu
2005-12-01,Hyderabad,74,Flu
2005-12-01,Hyderabad,129,Flu
2005-12-01,Vijayawada,140,Flu
2005-12-01,Vijayawada,232,Flu
2005-12-01,Vijayawada,177,Flu
2005-12-01,Vijayawada,85,Typhoid
2005-12-01,Vijayawada,66,Malaria
2005-12-01,Vijayawada,149,Flu
2005-12-01,Visakhapatnam,40,Flu
2005-12-01,Visakhapatnam,229,Typhoid
2005-12-01,Visakhapatnam,190,Dengue
2005-12-01,Visakhapatnam,91,Typhoid
2005-12-01,Visakhapatnam,17,Typhoid
2005-12-01,Visakhapatnam,201,Typhoid
2005-12-01,Tirupati,113,Malaria
2005-12-01,Tirupati,194,Malaria
2005-12-01,Tirupati,24,Flu
2005-12-01,Guntur,84,Dengue
2005-12-01,Guntur,120,Flu
2005-12-01,Guntur,122,Flu
2005-12-01,Guntur,92,Flu
2005-12-01,Kurnool,157,Flu
2005-12-01,Kurnool,55,Chikungunya
2005-12-01,Kurnool,111,Flu
2005-12-01,Kurnool,127,Flu
2005-12-01,Nellore,150,Flu
2005-12-01,Nellore,162,Flu
2005-12-01,Nellore,52,Chikungunya
2005-12-01,Rajahmundry,27,Flu
2005-12-01,Rajahmundry,196,Typhoid
2005-12-01,Rajahmundry,139,Chikungunya
2006-01-01,Hyderabad,75,Flu
2006-01-01,Hyderabad,213,Flu
2006-01-01,Hyderabad,126,Flu
2006-01-01,Hyderabad,190,Flu
2006-01-01,Hyderabad,124,Flu
2006-01-01,Hyderabad,243,Typhoid
2006-01-01,Vijayawada,225,Dengue
2006-01-01,Vijayawada,105,Typhoid
2006-01-01,Vijayawada,178,Flu
2006-01-01,Vijayawada,158,Flu
2006-01-01,Vijayawada,202,Malaria
2006-01-01,Vijayawada,62,Flu
2006-01-01,Visakhapatnam,161,Flu
2006-01-01,Visakhapatnam,183,Flu
2006-01-01,Visakhapatnam,14,Flu
2006-01-01,Visakhapatnam,49,Flu
2006-01-01,Tirupati,5,Dengue
2006-01-01,Tirupati,103,Flu
2006-01-01,Tirupati,163,Flu
2006-01-01,Guntur,210,Dengue
2006-01-01,Guntur,124,Chikungunya
2006-01-01,Guntur,217,Malaria
2006-01-01,Guntur,37,Typhoid
2006-01-01,Kurnool,17,Typhoid
2006-01-01,Kurnool,116,Flu
2006-01-01,Kurnool,143,Flu
2006-01-01,Kurnool,118,Flu
2006-01-01,Kurnool,5,Flu
2006-01-01,Kurnool,114,Flu
2006-01-01,Nellore,41,Flu
2006-01-01,Nellore,160,Typhoid
2006-01-01,Nellore,141,Flu
2006-01-01,Rajahmundry,63,Flu
2006-01-01,Rajahmundry,89,Flu
2006-01-01,Rajahmundry,56,Malaria
2006-02-01,Hyderabad,116,Flu
2006-02-01,Hyderabad,177,Malaria
2006-02-01,Hyderabad,60,Flu
2006-02-01,Vijayawada,150,Flu
2006-02-01,Vijayawada,88,Malaria
2006-02-01,Vijayawada,72,Flu
2006-02-01,Visakhapatnam,113,Malaria
2006-02-01,Visakhapatnam,57,Flu
2006-02-01,Visakhapatnam,86,Flu
2006-02-01,Visakhapatnam,48,Malaria
2006-02-01,Visakhapatnam,237,Flu
2006-02-01,Tirupati,122,Malaria
2006-02-01,Tirupati,78,Dengue
2006-02-01,Tirupati,132,Typhoid
2006-02-01,Tirupati,113,Flu
2006-02-01,Tirupati,106,Flu
2006-02-01,Guntur,156,Flu
2006-02-01,Guntur,165,Malaria
2006-02-01,Guntur,88,Flu
2006-02-01,Guntur,85,Flu
2006-02-01,Guntur,103,Malaria
2006-02-01,Guntur,5,Flu
2006-02-01,Kurnool,29,Flu
2006-02-01,Kurnool,202,Flu
2006-02-01,Kurnool,218,Malaria
2006-02-01,Kurnool,105,Flu
2006-02-01,Kurnool,154,Flu
2006-02-01,Nellore,138,Flu
2006-02-01,Nellore,304,Flu
2006-02-01,Nellore,187,Dengue
2006-02-01,Nellore,112,Flu
2006-02-01,Nellore,62,Dengue
2006-02-01,Rajahmundry,23,Flu
2006-02-01,Rajahmundry,132,Malaria
2006-02-01,Rajahmundry,74,Flu
2006-02-01,Rajahmundry,34,Flu
2006-02-01,Rajahmundry,81,Flu
2006-02-01,Rajahmundry,55,Flu
2006-03-01,Hyderabad,221,Malaria
2006-03-01,Hyderabad,172,Flu
2006-03-01,Hyderabad,119,Typhoid
2006-03-01,Hyderabad,208,Flu
2006-03-01,Hyderabad,124,Flu
2006-03-01,Hyderabad,68,Chikungunya
2006-03-01,Vijayawada,211,Chikungunya
2006-03-01,Vijayawada,152,Flu
2006-03-01,Vijayawada,57,Typhoid
2006-03-01,Vijayawada,108,Typhoid
2006-03-01,Vijayawada,67,Malaria
2006-03-01,Vijayawada,37,Dengue
2006-03-01,Visakhapatnam,175,Chikungunya
2006-03-01,Visakhapatnam,234,Malaria
2006-03-01,Visakhapatnam,36,Chikungunya
2006-03-01,Visakhapatnam,153,Flu
2006-03-01,Visakhapatnam,80,Flu
2006-03-01,Tirupati,90,Typhoid
2006-03-01,Tirupati,84,Dengue
2006-03-01,Tirupati,68,Chikungunya
2006-03-01,Tirupati,122,Typhoid
2006-03-01,Tirupati,70,Malaria
2006-03-01,Tirupati,136,Chikungunya
2006-03-01,Guntur,116,Typhoid
2006-03-01,Guntur,105,Typhoid
2006-03-01,Guntur,65,Typhoid
2006-03-01,Guntur,85,Typhoid
2006-03-01,Kurnool,165,Flu
2006-03-01,Kurnool,150,Dengue
2006-03-01,Kurnool,61,Flu
2006-03-01,Kurnool,125,Malaria
2006-03-01,Kurnool,165,Dengue
2006-03-01,Nellore,19,Chikungunya
2006-03-01,Nellore,152,Chikungunya
2006-03-01,Nellore,80,Flu
2006-03-01,Nellore,154,Malaria
2006-03-01,Rajahmundry,74,Chikungunya
2006-03-01,Rajahmundry,11,Chikungunya
2006-03-01,Rajahmundry,22,Dengue
2006-03-01,Rajahmundry,122,Dengue
2006-03-01,Rajahmundry,135,Typhoid
2006-03-01,Rajahmundry,65,Malaria
2006-04-01,Hyderabad,158,Malaria
2006-04-01,Hyderabad,20,Typhoid
2006-04-01,Hyderabad,116,Flu
2006-04-01,Hyderabad,47,Typhoid
2006-04-01,Hyderabad,80,Chikungunya
2006-04-01,Hyderabad,122,Flu
2006-04-01,Vijayawada,68,Chikungunya
2006-04-01,Vijayawada,96,Flu
2006-04-01,Vijayawada,180,Typhoid
2006-04-01,Vijayawada,85,Typhoid
2006-04-01,Vijayawada,170,Chikungunya
2006-04-01,Visakhapatnam,52,Typhoid
2006-04-01,Visakhapatnam,151,Typhoid
2006-04-01,Visakhapatnam,206,Malaria
2006-04-01,Visakhapatnam,5,Dengue
2006-04-01,Visakhapatnam,72,Malaria
2006-04-01,Tirupati,154,Dengue
2006-04-01,Tirupati,107,Flu
2006-04-01,Tirupati,142,Malaria
2006-04-01,Tirupati,83,Malaria
2006-04-01,Tirupati,125,Malaria
2006-04-01,Guntur,110,Typhoid
2006-04-01,Guntur,190,Flu
2006-04-01,Guntur,135,Flu
2006-04-01,Guntur,140,Flu
2006-04-01,Guntur,95,Typhoid
2006-04-01,Guntur,90,Dengue
2006-04-01,Kurnool,94,Typhoid
2006-04-01,Kurnool,143,Malaria
2006-04-01,Kurnool,94,Typhoid
2006-04-01,Kurnool,137,Malaria
2006-04-01,Nellore,244,Dengue
2006-04-01,Nellore,172,Flu
2006-04-01,Nellore,100,Malaria
2006-04-01,Nellore,192,Typhoid
2006-04-01,Nellore,95,Dengue
2006-04-01,Rajahmundry,5,Flu
2006-04-01,Rajahmundry,59,Typhoid
2006-04-01,Rajahmundry,7,Malaria
2006-05-01,Hyderabad,98,Dengue
2006-05-01,Hyderabad,121,Dengue
2006-05-01,Hyderabad,220,Flu
2006-05-01,Hyderabad,139,Typhoid
2006-05-01,Hyderabad,106,Chikungunya
2006-05-01,Hyderabad,169,Chikungunya
2006-05-01,Vijayawada,5,Typhoid
2006-05-01,Vijayawada,134,Malaria
2006-05-01,Vijayawada,166,Dengue
2006-05-01,Vijayawada,31,Typhoid
2006-05-01,Vijayawada,188,Chikungunya
2006-05-01,Vijayawada,140,Dengue
2006-05-01,Visakhapatnam,95,Chikungunya
2006-05-01,Visakhapatnam,157,Chikungunya
2006-05-01,Visakhapatnam,256,Dengue
2006-05-01,Tirupati,130,Malaria
2006-05-01,Tirupati,134,Malaria
2006-05-01,Tirupati,92,Flu
2006-05-01,Guntur,69,Dengue
2006-05-01,Guntur,169,Malaria
2006-05-01,Guntur,68,Dengue
2006-05-01,Guntur,124,Flu
2006-05-01,Guntur,91,Chikungunya
2006-05-01,Kurnool,148,Flu
2006-05-01,Kurnool,140,Chikungunya
2006-05-01,Kurnool,182,Chikungunya
2006-05-01,Kurnool,89,Chikungunya
2006-05-01,Nellore,103,Flu
2006-05-01,Nellore,61,Chikungunya
2006-05-01,Nellore,93,Typhoid
2006-05-01,Nellore,142,Flu
2006-05-01,Nellore,165,Flu
2006-05-01,Rajahmundry,64,Flu
2006-05-01,Rajahmundry,172,Dengue
2006-05-01,Rajahmundry,201,Malaria
2006-06-01,Hyderabad,144,Dengue
2006-06-01,Hyderabad,232,Dengue
2006-06-01,Hyderabad,73,Dengue
2006-06-01,Hyderabad,45,Malaria
2006-06-01,Vijayawada,13,Dengue
2006-06-01,Vijayawada,209,Malaria
2006-06-01,Vijayawada,159,Malaria
2006-06-01,Vijayawada,116,Dengue
2006-06-01,Visakhapatnam,136,Dengue
2006-06-01,Visakhapatnam,52,Dengue
2006-06-01,Visakhapatnam,266,Chikungunya
2006-06-01,Visakhapatnam,127,Dengue
2006-06-01,Tirupati,126,Flu
2006-06-01,Tirupati,163,Chikungunya
2006-06-01,Tirupati,148,Typhoid
2006-06-01,Tirupati,133,Typhoid
2006-06-01,Guntur,72,Malaria
2006-06-01,Guntur,148,Malaria
2006-06-01,Guntur,232,Typhoid
2006-06-01,Guntur,200,Flu
2006-06-01,Kurnool,215,Dengue
2006-06-01,Kurnool,89,Dengue
2006-06-01,Kurnool,60,Dengue
2006-06-01,Kurnool,112,Chikungunya
2006-06-01,Nellore,123,Malaria
2006-06-01,Nellore,185,Malaria
2006-06-01,Nellore,18,Dengue
2006-06-01,Nellore,211,Malaria
2006-06-01,Nellore,110,Dengue
2006-06-01,Rajahmundry,94,Malaria
2006-06-01,Rajahmundry,59,Malaria
2006-06-01,Rajahmundry,20,Chikungunya
2006-06-01,Rajahmundry,169,Chikungunya
2006-06-01,Rajahmundry,124,Typhoid
2006-06-01,Rajahmundry,42,Dengue
2006-07-01,Hyderabad,42,Flu
2006-07-01,Hyderabad,99,Chikungunya
2006-07-01,Hyderabad,220,Malaria
2006-07-01,Hyderabad,104,Flu
2006-07-01,Vijayawada,29,Malaria
2006-07-01,Vijayawada,105,Chikungunya
2006-07-01,Vijayawada,103,Dengue
2006-07-01,Vijayawada,5,Malaria
2006-07-01,Vijayawada,116,Malaria
2006-07-01,Visakhapatnam,106,Dengue
2006-07-01,Visakhapatnam,161,Malaria
2006-07-01,Visakhapatnam,230,Typhoid
2006-07-01,Visakhapatnam,187,Malaria
2006-07-01,Visakhapatnam,103,Dengue
2006-07-01,Tirupati,53,Malaria
2006-07-01,Tirupati,274,Dengue
2006-07-01,Tirupati,123,Dengue
2006-07-01,Tirupati,120,Dengue
2006-07-01,Tirupati,118,Malaria
2006-07-01,Guntur,131,Dengue
2006-07-01,Guntur,111,Flu
2006-07-01,Guntur,85,Chikungunya
2006-07-01,Guntur,87,Malaria
2006-07-01,Guntur,118,Malaria
2006-07-01,Guntur,87,Dengue
2006-07-01,Kurnool,77,Dengue
2006-07-01,Kurnool,126,Chikungunya
2006-07-01,Kurnool,104,Chikungunya
2006-07-01,Kurnool,210,Chikungunya
2006-07-01,Kurnool,5,Dengue
2006-07-01,Nellore,185,Malaria
2006-07-01,Nellore,194,Dengue
