date,location,sales_volume,medicine
2005-02-01,Vijayawada,291,Chloroquine
2005-02-01,Vijayawada,313,Vitamin C
2005-02-01,Vijayawada,383,Antibiotics
2005-02-01,Visakhapatnam,250,ORS
2005-02-01,Visakhapatnam,421,Chloroquine
2005-02-01,Visakhapatnam,264,ORS
2005-02-01,Visakhapatnam,327,ORS
2005-02-01,Tirupati,161,Chloroquine
2005-02-01,Tirupati,261,Vitamin C
2005-02-01,Tirupati,309,Chloroquine
2005-02-01,Tirupati,453,Paracetamol
2005-02-01,Tirupati,347,Paracetamol
2005-02-01,Tirupati,250,Paracetamol
2005-02-01,Guntur,425,Paracetamol
2005-02-01,Guntur,20,Vitamin C
2005-02-01,Guntur,29,Antibiotics
2005-02-01,Guntur,281,Antibiotics
2005-02-01,Guntur,261,Paracetamol
2005-02-01,Guntur,272,Chloroquine
2005-02-01,Guntur,207,ORS
2005-02-01,Kurnool,328,Paracetamol
2005-02-01,Kurnool,102,Chloroquine
2005-02-01,Kurnool,268,Chloroquine
2005-02-01,Kurnool,379,Paracetamol
2005-02-01,Kurnool,346,ORS
2005-02-01,Nellore,441,Antibiotics
2005-02-01,Nellore,229,Antibiotics
2005-02-01,Nellore,232,Chloroquine
2005-02-01,Rajahmundry,77,Paracetamol
2005-02-01,Rajahmundry,196,Paracetamol
2005-02-01,Rajahmundry,236,Paracetamol
2005-02-01,Rajahmundry,386,Vitamin C
2005-02-01,Rajahmundry,126,Antibiotics
2005-03-01,Hyderabad,295,Paracetamol
2005-03-01,Hyderabad,199,Vitamin C
2005-03-01,Hyderabad,178,Vitamin C
2005-03-01,Vijayawada,229,Paracetamol
2005-03-01,Vijayawada,153,Vitamin C
2005-03-01,Vijayawada,148,Antibiotics
2005-03-01,Vijayawada,20,Chloroquine
2005-03-01,Visakhapatnam,170,ORS
2005-03-01,Visakhapatnam,142,ORS
2005-03-01,Visakhapatnam,138,Antibiotics
2005-03-01,Visakhapatnam,250,Vitamin C
2005-03-01,Visakhapatnam,279,Paracetamol
2005-03-01,Visakhapatnam,227,ORS
2005-03-01,Visakhapatnam,319,ORS
2005-03-01,Tirupati,269,Chloroquine
2005-03-01,Tirupati,164,Paracetamol
2005-03-01,Tirupati,144,ORS
2005-03-01,Tirupati,237,Vitamin C
2005-03-01,Tirupati,268,Antibiotics
2005-03-01,Tirupati,367,Antibiotics
2005-03-01,Guntur,342,Antibiotics
2005-03-01,Guntur,135,Paracetamol
2005-03-01,Guntur,187,Chloroquine
2005-03-01,Guntur,280,Antibiotics
2005-03-01,Guntur,328,Vitamin C
2005-03-01,Kurnool,312,Antibiotics
2005-03-01,Kurnool,192,ORS
2005-03-01,Kurnool,49,Vitamin C
2005-03-01,Kurnool,80,Vitamin C
2005-03-01,Kurnool,232,Chloroquine
2005-03-01,Nellore,241,Paracetamol
2005-03-01,Nellore,68,Antibiotics
2005-03-01,Nellore,205,Antibiotics
2005-03-01,Nellore,275,ORS
2005-03-01,Nellore,61,Vitamin C
2005-03-01,Nellore,332,Paracetamol
2005-03-01,Rajahmundry,154,Chloroquine
2005-03-01,Rajahmundry,350,Vitamin C
2005-03-01,Rajahmundry,135,Paracetamol
2005-03-01,Rajahmundry,76,Antibiotics
2005-03-01,Rajahmundry,145,Chloroquine
2005-03-01,Rajahmundry,188,Antibiotics
2005-04-01,Hyderabad,153,Antibiotics
2005-04-01,Hyderabad,174,Vitamin C
2005-04-01,Hyderabad,240,Paracetamol
2005-04-01,Hyderabad,179,ORS
2005-04-01,Hyderabad,192,ORS
2005-04-01,Vijayawada,20,Paracetamol
2005-04-01,Vijayawada,247,Paracetamol
2005-04-01,Vijayawada,189,Vitamin C
2005-04-01,Vijayawada,393,Chloroquine
2005-04-01,Visakhapatnam,87,Antibiotics
2005-04-01,Visakhapatnam,20,Vitamin C
2005-04-01,Visakhapatnam,274,Chloroquine
2005-04-01,Visakhapatnam,241,Paracetamol
2005-04-01,Tirupati,78,Antibiotics
2005-04-01,Tirupati,20,Vitamin C
2005-04-01,Tirupati,384,Antibiotics
2005-04-01,Tirupati,369,Vitamin C
2005-04-01,Guntur,20,Chloroquine
2005-04-01,Guntur,145,Paracetamol
2005-04-01,Guntur,399,Antibiotics
2005-04-01,Guntur,142,ORS
2005-04-01,Guntur,141,Antibiotics
2005-04-01,Guntur,166,ORS
2005-04-01,Guntur,65,ORS
2005-04-01,Kurnool,20,Paracetamol
2005-04-01,Kurnool,326,ORS
2005-04-01,Kurnool,20,Vitamin C
2005-04-01,Kurnool,229,Vitamin C
2005-04-01,Nellore,306,Paracetamol
2005-04-01,Nellore,25,ORS
2005-04-01,Nellore,89,Chloroquine
2005-04-01,Nellore,345,Vitamin C
2005-04-01,Nellore,263,Antibiotics
2005-04-01,Nellore,125,Vitamin C
2005-04-01,Rajahmundry,344,ORS
2005-04-01,Rajahmundry,344,Chloroquine
2005-04-01,Rajahmundry,232,ORS
2005-04-01,Rajahmundry,91,Antibiotics
2005-04-01,Rajahmundry,150,Antibiotics
2005-04-01,Rajahmundry,234,Vitamin C
2005-05-01,Hyderabad,177,Paracetamol
2005-05-01,Hyderabad,312,Paracetamol
2005-05-01,Hyderabad,20,Antibiotics
2005-05-01,Hyderabad,20,Paracetamol
2005-05-01,Hyderabad,221,Antibiotics
2005-05-01,Hyderabad,141,Chloroquine
2005-05-01,Hyderabad,124,Paracetamol
2005-05-01,Vijayawada,20,Vitamin C
2005-05-01,Vijayawada,202,Paracetamol
2005-05-01,Vijayawada,193,Chloroquine
2005-05-01,Vijayawada,278,Chloroquine
2005-05-01,Visakhapatnam,208,Paracetamol
2005-05-01,Visakhapatnam,184,Paracetamol
2005-05-01,Visakhapatnam,341,Antibiotics
2005-05-01,Visakhapatnam,42,Antibiotics
2005-05-01,Visakhapatnam,264,Chloroquine
2005-05-01,Visakhapatnam,20,Vitamin C
2005-05-01,Tirupati,99,Chloroquine
2005-05-01,Tirupati,54,Vitamin C
2005-05-01,Tirupati,293,Antibiotics
2005-05-01,Tirupati,192,Antibiotics
2005-05-01,Tirupati,198,Paracetamol
2005-05-01,Tirupati,67,ORS
2005-05-01,Guntur,164,Antibiotics
2005-05-01,Guntur,108,ORS
2005-05-01,Guntur,246,ORS
2005-05-01,Kurnool,81,ORS
2005-05-01,Kurnool,359,Vitamin C
2005-05-01,Kurnool,20,ORS
2005-05-01,Kurnool,103,Vitamin C
2005-05-01,Kurnool,401,Chloroquine
2005-05-01,Kurnool,147,Chloroquine
2005-05-01,Kurnool,42,ORS
2005-05-01,Nellore,226,Chloroquine
2005-05-01,Nellore,142,Vitamin C
2005-05-01,Nellore,99,ORS
2005-05-01,Nellore,68,Vitamin C
2005-05-01,Nellore,532,Vitamin C
2005-05-01,Nellore,169,ORS
2005-05-01,Nellore,20,Antibiotics
2005-05-01,Rajahmundry,379,Chloroquine
2005-05-01,Rajahmundry,273,ORS
2005-05-01,Rajahmundry,108,Chloroquine
2005-05-01,Rajahmundry,88,Chloroquine
2005-05-01,Rajahmundry,280,Vitamin C
2005-05-01,Rajahmundry,170,Antibiotics
2005-06-01,Hyderabad,48,ORS
2005-06-01,Hyderabad,494,Antibiotics
2005-06-01,Hyderabad,227,Chloroquine
2005-06-01,Vijayawada,459,Antibiotics
2005-06-01,Vijayawada,433,Paracetamol
2005-06-01,Vijayawada,159,Paracetamol
2005-06-01,Vijayawada,403,ORS
2005-06-01,Visakhapatnam,201,Chloroquine
2005-06-01,Visakhapatnam,55,Paracetamol
2005-06-01,Visakhapatnam,229,Vitamin C
2005-06-01,Visakhapatnam,327,Antibiotics
2005-06-01,Tirupati,224,Paracetamol
2005-06-01,Tirupati,243,Paracetamol
2005-06-01,Tirupati,417,Vitamin C
2005-06-01,Tirupati,292,Antibiotics
2005-06-01,Tirupati,178,Vitamin C
2005-06-01,Guntur,364,Paracetamol
2005-06-01,Guntur,303,ORS
2005-06-01,Guntur,20,Vitamin C
2005-06-01,Guntur,331,Chloroquine
2005-06-01,Kurnool,327,Paracetamol
2005-06-01,Kurnool,282,Chloroquine
2005-06-01,Kurnool,387,ORS
2005-06-01,Kurnool,199,ORS
2005-06-01,Kurnool,320,Antibiotics
2005-06-01,Nellore,91,ORS
2005-06-01,Nellore,328,ORS
2005-06-01,Nellore,514,Vitamin C
2005-06-01,Nellore,160,Antibiotics
2005-06-01,Nellore,188,ORS
2005-06-01,Nellore,194,Vitamin C
2005-06-01,Nellore,295,Vitamin C
2005-06-01,Rajahmundry,152,Paracetamol
2005-06-01,Rajahmundry,330,Vitamin C
2005-06-01,Rajahmundry,381,Chloroquine
2005-06-01,Rajahmundry,344,Paracetamol
2005-07-01,Hyderabad,67,ORS
2005-07-01,Hyderabad,399,Chloroquine
2005-07-01,Hyderabad,392,ORS
2005-07-01,Hyderabad,379,Vitamin C
2005-07-01,Vijayawada,324,Chloroquine
2005-07-01,Vijayawada,306,Vitamin C
2005-07-01,Vijayawada,403,Vitamin C
2005-07-01,Visakhapatnam,510,ORS
2005-07-01,Visakhapatnam,165,Vitamin C
2005-07-01,Visakhapatnam,409,Vitamin C
2005-07-01,Visakhapatnam,269,Vitamin C
2005-07-01,Visakhapatnam,264,ORS
2005-07-01,Visakhapatnam,95,Vitamin C
2005-07-01,Tirupati,245,Chloroquine
2005-07-01,Tirupati,160,Chloroquine
2005-07-01,Tirupati,224,Paracetamol
2005-07-01,Tirupati,148,Chloroquine
2005-07-01,Tirupati,226,Chloroquine
2005-07-01,Tirupati,231,Paracetamol
2005-07-01,Guntur,291,Chloroquine
2005-07-01,Guntur,86,Chloroquine
2005-07-01,Guntur,106,Chloroquine
2005-07-01,Guntur,323,Antibiotics
2005-07-01,Guntur,184,Paracetamol
2005-07-01,Guntur,408,ORS
2005-07-01,Guntur,307,Paracetamol
2005-07-01,Kurnool,352,Chloroquine
2005-07-01,Kurnool,449,Vitamin C
2005-07-01,Kurnool,242,Antibiotics
2005-07-01,Nellore,211,Antibiotics
2005-07-01,Nellore,384,ORS
2005-07-01,Nellore,341,ORS
2005-07-01,Nellore,257,Vitamin C
2005-07-01,Nellore,446,Paracetamol
2005-07-01,Nellore,254,Chloroquine
2005-07-01,Rajahmundry,283,Antibiotics
2005-07-01,Rajahmundry,282,Antibiotics
2005-07-01,Rajahmundry,167,Antibiotics
2005-07-01,Rajahmundry,289,Antibiotics
2005-07-01,Rajahmundry,447,ORS
2005-07-01,Rajahmundry,333,ORS
2005-07-01,Rajahmundry,283,Vitamin C
2005-08-01,Hyderabad,260,Vitamin C
2005-08-01,Hyderabad,319,Paracetamol
2005-08-01,Hyderabad,369,Vitamin C
2005-08-01,Hyderabad,353,Chloroquine
2005-08-01,Hyderabad,240,Chloroquine
2005-08-01,Vijayawada,318,Chloroquine
2005-08-01,Vijayawada,337,Antibiotics
2005-08-01,Vijayawada,159,Vitamin C
2005-08-01,Vijayawada,300,Antibiotics
2005-08-01,Vijayawada,20,Antibiotics
2005-08-01,Visakhapatnam,337,Paracetamol
2005-08-01,Visakhapatnam,359,Vitamin C
2005-08-01,Visakhapatnam,369,Antibiotics
2005-08-01,Visakhapatnam,232,ORS
2005-08-01,Visakhapatnam,317,Chloroquine
2005-08-01,Tirupati,450,ORS
2005-08-01,Tirupati,449,Antibiotics
2005-08-01,Tirupati,276,ORS
2005-08-01,Guntur,296,Chloroquine
2005-08-01,Guntur,413,Vitamin C
2005-08-01,Guntur,99,Vitamin C
2005-08-01,Guntur,241,Chloroquine
2005-08-01,Guntur,440,Antibiotics
2005-08-01,Guntur,397,ORS
2005-08-01,Kurnool,324,Paracetamol
2005-08-01,Kurnool,99,Chloroquine
2005-08-01,Kurnool,274,Antibiotics
2005-08-01,Kurnool,209,ORS
2005-08-01,Nellore,319,Chloroquine
2005-08-01,Nellore,182,Paracetamol
2005-08-01,Nellore,156,Vitamin C
2005-08-01,Nellore,32,ORS
2005-08-01,Nellore,426,ORS
2005-08-01,Nellore,232,Paracetamol
2005-08-01,Nellore,298,ORS
2005-08-01,Rajahmundry,279,Vitamin C
2005-08-01,Rajahmundry,151,Paracetamol
2005-08-01,Rajahmundry,128,Vitamin C
2005-08-01,Rajahmundry,159,ORS
2005-08-01,Rajahmundry,193,Paracetamol
2005-09-01,Hyderabad,323,Antibiotics
2005-09-01,Hyderabad,184,Antibiotics
2005-09-01,Hyderabad,489,Paracetamol
2005-09-01,Hyderabad,403,ORS
2005-09-01,Hyderabad,377,ORS
2005-09-01,Vijayawada,265,Vitamin C
2005-09-01,Vijayawada,461,Paracetamol
2005-09-01,Vijayawada,253,Antibiotics
2005-09-01,Visakhapatnam,276,Antibiotics
2005-09-01,Visakhapatnam,300,Antibiotics
2005-09-01,Visakhapatnam,364,Chloroquine
2005-09-01,Visakhapatnam,356,Antibiotics
2005-09-01,Visakhapatnam,222,Vitamin C
2005-09-01,Visakhapatnam,216,Paracetamol
2005-09-01,Visakhapatnam,356,Paracetamol
2005-09-01,Tirupati,365,Paracetamol
2005-09-01,Tirupati,232,Vitamin C
2005-09-01,Tirupati,89,Chloroquine
2005-09-01,Tirupati,255,Chloroquine
2005-09-01,Tirupati,354,Chloroquine
2005-09-01,Guntur,496,Antibiotics
2005-09-01,Guntur,136,Paracetamol
2005-09-01,Guntur,228,Paracetamol
2005-09-01,Kurnool,233,Paracetamol
2005-09-01,Kurnool,442,ORS
2005-09-01,Kurnool,275,Paracetamol
2005-09-01,Kurnool,171,Vitamin C
2005-09-01,Kurnool,347,ORS
2005-09-01,Kurnool,231,Chloroquine
2005-09-01,Nellore,133,Paracetamol
2005-09-01,Nellore,172,ORS
2005-09-01,Nellore,488,ORS
2005-09-01,Nellore,326,Chloroquine
2005-09-01,Nellore,292,Vitamin C
2005-09-01,Nellore,250,ORS
2005-09-01,Nellore,315,Vitamin C
2005-09-01,Rajahmundry,313,Antibiotics
2005-09-01,Rajahmundry,315,Antibiotics
2005-09-01,Rajahmundry,293,Paracetamol
2005-10-01,Hyderabad,384,Chloroquine
2005-10-01,Hyderabad,282,Vitamin C
2005-10-01,Hyderabad,162,Chloroquine
2005-10-01,Vijayawada,206,Paracetamol
2005-10-01,Vijayawada,42,Chloroquine
2005-10-01,Vijayawada,523,Antibiotics
2005-10-01,Vijayawada,383,Paracetamol
2005-10-01,Vijayawada,180,ORS
2005-10-01,Visakhapatnam,246,Chloroquine
2005-10-01,Visakhapatnam,203,Vitamin C
2005-10-01,Visakhapatnam,465,Antibiotics
2005-10-01,Visakhapatnam,109,Chloroquine
2005-10-01,Visakhapatnam,293,Paracetamol
2005-10-01,Visakhapatnam,266,ORS
2005-10-01,Visakhapatnam,379,ORS
2005-10-01,Tirupati,267,ORS
2005-10-01,Tirupati,69,Paracetamol
2005-10-01,Tirupati,249,ORS
2005-10-01,Tirupati,163,Antibiotics
2005-10-01,Tirupati,289,Vitamin C
2005-10-01,Tirupati,452,Paracetamol
2005-10-01,Tirupati,71,Vitamin C
2005-10-01,Guntur,183,Paracetamol
2005-10-01,Guntur,213,Paracetamol
2005-10-01,Guntur,234,Paracetamol
2005-10-01,Guntur,368,Chloroquine
2005-10-01,Guntur,259,Paracetamol
2005-10-01,Guntur,329,Chloroquine
2005-10-01,Kurnool,204,Vitamin C
2005-10-01,Kurnool,307,Paracetamol
2005-10-01,Kurnool,373,Chloroquine
2005-10-01,Kurnool,192,Paracetamol
2005-10-01,Kurnool,373,Chloroquine
2005-10-01,Nellore,286,Antibiotics
2005-10-01,Nellore,405,Paracetamol
2005-10-01,Nellore,255,Chloroquine
2005-10-01,Nellore,325,ORS
2005-10-01,Nellore,275,Chloroquine
2005-10-01,Rajahmundry,268,ORS
2005-10-01,Rajahmundry,311,Paracetamol
2005-10-01,Rajahmundry,344,Antibiotics
2005-10-01,Rajahmundry,130,ORS
2005-11-01,Hyderabad,372,ORS
2005-11-01,Hyderabad,20,Chloroquine
2005-11-01,Hyderabad,117,Vitamin C
2005-11-01,Hyderabad,188,ORS
2005-11-01,Vijayawada,249,Chloroquine
2005-11-01,Vijayawada,389,Chloroquine
2005-11-01,Vijayawada,20,ORS
2005-11-01,Vijayawada,139,Chloroquine
2005-11-01,Vijayawada,20,Chloroquine
2005-11-01,Vijayawada,203,ORS
2005-11-01,Visakhapatnam,232,Antibiotics
2005-11-01,Visakhapatnam,390,ORS
2005-11-01,Visakhapatnam,214,Paracetamol
2005-11-01,Visakhapatnam,325,Antibiotics
2005-11-01,Visakhapatnam,270,ORS
2005-11-01,Tirupati,147,ORS
2005-11-01,Tirupati,30,ORS
2005-11-01,Tirupati,233,Vitamin C
2005-11-01,Tirupati,20,Antibiotics
2005-11-01,Tirupati,355,Chloroquine
2005-11-01,Tirupati,180,Paracetamol
2005-11-01,Tirupati,343,Vitamin C
2005-11-01,Guntur,142,Chloroquine
2005-11-01,Guntur,232,Vitamin C
2005-11-01,Guntur,225,Vitamin C
2005-11-01,Guntur,194,Chloroquine
2005-11-01,Guntur,148,Antibiotics
2005-11-01,Guntur,247,ORS
2005-11-01,Kurnool,88,Chloroquine
2005-11-01,Kurnool,54,ORS
2005-11-01,Kurnool,349,Vitamin C
2005-11-01,Kurnool,287,Vitamin C
2005-11-01,Kurnool,207,ORS
2005-11-01,Nellore,399,Vitamin C
2005-11-01,Nellore,167,Chloroquine
2005-11-01,Nellore,358,ORS
2005-11-01,Rajahmundry,221,Antibiotics
2005-11-01,Rajahmundry,77,ORS
2005-11-01,Rajahmundry,421,Paracetamol
2005-11-01,Rajahmundry,318,Paracetamol
2005-12-01,Hyderabad,185,Chloroquine
2005-12-01,Hyderabad,287,Antibiotics
2005-12-01,Hyderabad,151,Chloroquine
2005-12-01,Hyderabad,299,Antibiotics
2005-12-01,Hyderabad,20,Vitamin C
2005-12-01,Hyderabad,77,ORS
2005-12-01,Hyderabad,317,ORS
2005-12-01,Vijayawada,170,Antibiotics
2005-12-01,Vijayawada,284,Vitamin C
2005-12-01,Vijayawada,98,Paracetamol
2005-12-01,Vijayawada,421,ORS
2005-12-01,Vijayawada,402,Paracetamol
2005-12-01,Vijayawada,175,ORS
2005-12-01,Vijayawada,211,Paracetamol
2005-12-01,Visakhapatnam,323,Antibiotics
2005-12-01,Visakhapatnam,437,Antibiotics
2005-12-01,Visakhapatnam,314,ORS
2005-12-01,Visakhapatnam,460,ORS
2005-12-01,Tirupati,89,Chloroquine
2005-12-01,Tirupati,101,ORS
2005-12-01,Tirupati,57,ORS
2005-12-01,Guntur,253,Antibiotics
2005-12-01,Guntur,281,Vitamin C
2005-12-01,Guntur,181,Chloroquine
2005-12-01,Guntur,357,Paracetamol
2005-12-01,Kurnool,407,Vitamin C
2005-12-01,Kurnool,20,Antibiotics
2005-12-01,Kurnool,188,Vitamin C
2005-12-01,Kurnool,358,Vitamin C
2005-12-01,Kurnool,143,Antibiotics
2005-12-01,Kurnool,104,Antibiotics
2005-12-01,Nellore,322,Chloroquine
2005-12-01,Nellore,45,ORS
2005-12-01,Nellore,163,ORS
2005-12-01,Nellore,299,Vitamin C
2005-12-01,Nellore,131,ORS
2005-12-01,Nellore,293,Antibiotics
2005-12-01,Rajahmundry,131,ORS
2005-12-01,Rajahmundry,429,Paracetamol
2005-12-01,Rajahmundry,184,Chloroquine
2005-12-01,Rajahmundry,340,Vitamin C
2005-12-01,Rajahmundry,349,Paracetamol
2005-12-01,Rajahmundry,124,Antibiotics
2006-01-01,Hyderabad,20,ORS
2006-01-01,Hyderabad,303,Vitamin C
2006-01-01,Hyderabad,208,Antibiotics
2006-01-01,Hyderabad,326,Vitamin C
2006-01-01,Hyderabad,232,Paracetamol
2006-01-01,Hyderabad,148,Chloroquine
2006-01-01,Vijayawada,441,Chloroquine
2006-01-01,Vijayawada,23,ORS
2006-01-01,Vijayawada,348,Vitamin C
2006-01-01,Vijayawada,191,Vitamin C
2006-01-01,Vijayawada,159,Chloroquine
2006-01-01,Vijayawada,221,Vitamin C
2006-01-01,Vijayawada,103,Chloroquine
2006-01-01,Visakhapatnam,268,ORS
2006-01-01,Visakhapatnam,426,Paracetamol
2006-01-01,Visakhapatnam,316,Paracetamol
2006-01-01,Visakhapatnam,212,ORS
2006-01-01,Tirupati,81,ORS
2006-01-01,Tirupati,262,Antibiotics
2006-01-01,Tirupati,458,Antibiotics
2006-01-01,Tirupati,154,Chloroquine
2006-01-01,Guntur,214,Paracetamol
2006-01-01,Guntur,132,Chloroquine
2006-01-01,Guntur,141,Chloroquine
2006-01-01,Guntur,20,Chloroquine
2006-01-01,Guntur,248,ORS
2006-01-01,Guntur,98,ORS
2006-01-01,Kurnool,20,Chloroquine
2006-01-01,Kurnool,290,Chloroquine
2006-01-01,Kurnool,70,Chloroquine
2006-01-01,Nellore,219,Paracetamol
2006-01-01,Nellore,375,Chloroquine
2006-01-01,Nellore,30,Chloroquine
2006-01-01,Nellore,76,Vitamin C
2006-01-01,Nellore,232,ORS
2006-01-01,Nellore,397,Paracetamol
2006-01-01,Rajahmundry,20,Chloroquine
2006-01-01,Rajahmundry,248,ORS
2006-01-01,Rajahmundry,329,Paracetamol
2006-01-01,Rajahmundry,20,Antibiotics
2006-01-01,Rajahmundry,355,Vitamin C
2006-01-01,Rajahmundry,305,Antibiotics
2006-02-01,Hyderabad,162,Antibiotics
2006-02-01,Hyderabad,350,Antibiotics
2006-02-01,Hyderabad,336,Antibiotics
2006-02-01,Hyderabad,212,Chloroquine
2006-02-01,Vijayawada,145,Antibiotics
2006-02-01,Vijayawada,83,Chloroquine
2006-02-01,Vijayawada,195,ORS
2006-02-01,Visakhapatnam,268,Antibiotics
2006-02-01,Visakhapatnam,161,ORS
2006-02-01,Visakhapatnam,20,ORS
2006-02-01,Visakhapatnam,352,Antibiotics
2006-02-01,Tirupati,222,Antibiotics
2006-02-01,Tirupati,214,Vitamin C
2006-02-01,Tirupati,362,Paracetamol
2006-02-01,Tirupati,382,ORS
2006-02-01,Tirupati,20,Antibiotics
2006-02-01,Tirupati,312,Vitamin C
2006-02-01,Tirupati,88,Paracetamol
2006-02-01,Guntur,319,Vitamin C
2006-02-01,Guntur,215,Chloroquine
2006-02-01,Guntur,276,Chloroquine
2006-02-01,Guntur,140,ORS
2006-02-01,Kurnool,20,ORS
2006-02-01,Kurnool,205,Vitamin C
2006-02-01,Kurnool,308,Paracetamol
2006-02-01,Kurnool,381,Vitamin C
2006-02-01,Kurnool,119,Vitamin C
2006-02-01,Nellore,383,Paracetamol
2006-02-01,Nellore,122,Chloroquine
2006-02-01,Nellore,243,Chloroquine
2006-02-01,Nellore,138,Antibiotics
2006-02-01,Nellore,221,Chloroquine
2006-02-01,Nellore,367,Paracetamol
2006-02-01,Rajahmundry,52,ORS
2006-02-01,Rajahmundry,118,Antibiotics
2006-02-01,Rajahmundry,282,Paracetamol
2006-02-01,Rajahmundry,488,ORS
2006-03-01,Hyderabad,96,Chloroquine
2006-03-01,Hyderabad,444,Antibiotics
2006-03-01,Hyderabad,440,Chloroquine
2006-03-01,Hyderabad,188,ORS
2006-03-01,Hyderabad,164,ORS
2006-03-01,Hyderabad,116,Antibiotics
2006-03-01,Vijayawada,191,Paracetamol
2006-03-01,Vijayawada,31,ORS
2006-03-01,Vijayawada,190,Antibiotics
2006-03-01,Vijayawada,379,Chloroquine
2006-03-01,Vijayawada,126,Chloroquine
2006-03-01,Vijayawada,171,Antibiotics
2006-03-01,Visakhapatnam,20,Paracetamol
2006-03-01,Visakhapatnam,244,Antibiotics
2006-03-01,Visakhapatnam,231,Paracetamol
2006-03-01,Visakhapatnam,207,ORS
2006-03-01,Visakhapatnam,173,Paracetamol
2006-03-01,Visakhapatnam,164,Antibiotics
2006-03-01,Visakhapatnam,260,Paracetamol
2006-03-01,Tirupati,196,ORS
2006-03-01,Tirupati,237,Chloroquine
2006-03-01,Tirupati,225,Vitamin C
2006-03-01,Tirupati,334,Vitamin C
2006-03-01,Guntur,281,Antibiotics
2006-03-01,Guntur,223,Paracetamol
2006-03-01,Guntur,382,Antibiotics
2006-03-01,Guntur,250,Antibiotics
2006-03-01,Guntur,356,Antibiotics
2006-03-01,Guntur,272,Paracetamol
2006-03-01,Kurnool,20,Antibiotics
2006-03-01,Kurnool,356,ORS
2006-03-01,Kurnool,216,Paracetamol
2006-03-01,Kurnool,193,Vitamin C
2006-03-01,Kurnool,233,Antibiotics
2006-03-01,Nellore,158,ORS
2006-03-01,Nellore,227,Antibiotics
2006-03-01,Nellore,128,ORS
2006-03-01,Nellore,352,Vitamin C
2006-03-01,Nellore,186,ORS
2006-03-01,Nellore,154,Paracetamol
2006-03-01,Nellore,89,Chloroquine
2006-03-01,Rajahmundry,232,Vitamin C
2006-03-01,Rajahmundry,222,Antibiotics
2006-03-01,Rajahmundry,246,Paracetamol
2006-03-01,Rajahmundry,76,Chloroquine
2006-03-01,Rajahmundry,20,Paracetamol
2006-03-01,Rajahmundry,275,ORS
2006-04-01,Hyderabad,378,ORS
2006-04-01,Hyderabad,76,Chloroquine
2006-04-01,Hyderabad,390,Vitamin C
2006-04-01,Hyderabad,234,Vitamin C
2006-04-01,Hyderabad,199,Antibiotics
2006-04-01,Hyderabad,152,Antibiotics
2006-04-01,Hyderabad,33,Paracetamol
2006-04-01,Vijayawada,318,ORS
2006-04-01,Vijayawada,106,Paracetamol
2006-04-01,Vijayawada,106,Paracetamol
2006-04-01,Vijayawada,319,Antibiotics
2006-04-01,Vijayawada,20,Antibiotics
2006-04-01,Vijayawada,20,ORS
2006-04-01,Visakhapatnam,197,Vitamin C
2006-04-01,Visakhapatnam,235,ORS
